rank,title,outline,director,rating
1,웅남이,"코미디,
액션
대한민국97분
 2023
.03.22 개봉
",박성광,7.41
2,스즈메의 문단속,"애니메이션
일본122분
 2023
.03.08 개봉
",신카이 마코토,8.15
3,파벨만스,"드라마
미국151분
 2023
.03.22 개봉
",스티븐 스필버그,8.86
4,소울메이트,"드라마
대한민국124분
 2023
.03.15 개봉
",민용근,8.02
5,더 퍼스트 슬램덩크,"애니메이션
일본124분
 2023
.01.04 개봉
",이노우에 다케히코,9.28
6,던전 앤 드래곤: 도적들의 명예,"액션,
모험,
판타지
미국134분
 2023
.03.29 개봉
",조나단 골드스타인,8.34
7,에브리씽 에브리웨어 올 앳 원스+,"액션,
코미디
미국150분
 2023
.03.01 개봉
",다니엘 콴,8.90
8,"귀멸의 칼날: 상현집결, 그리고 도공 마을로","애니메이션
일본110분
 2023
.03.02 개봉
",소토자키 하루오,6.65
9,샤잠! 신들의 분노,"드라마
대한민국122분
 2023
.04.05 개봉
",장항준,
10,아임 히어로 더 파이널,"다큐멘터리,
공연실황
대한민국102분
 2023
.03.01 개봉
",오윤동,9.87
11,대외비,"범죄,
드라마
대한민국116분
 2023
.03.01 개봉
",이원태,6.17
12,모나리자와 블러드 문,"판타지,
미스터리,
스릴러
미국107분
 2023
.03.22 개봉
",애나 릴리 아미푸르,7.14
13,TAR 타르,"드라마
미국158분
 2023
.02.22 개봉
",토드 필드,7.81
14,플레인,"액션,
스릴러
미국
,
영국107분
 2023
.03.15 개봉
",장-프랑소와 리셰,7.72
15,리바운드,"드라마
대한민국122분
 2023
.04.05 개봉
",장항준,
16,포커페이스,"스릴러,
범죄
미국91분
 2023
.03.23 개봉
",러셀 크로우,6.67
17,옥수역귀신,"공포,
미스터리
대한민국80분
 2023
.04 개봉
",정용기,
18,존 윅 4,"액션
미국169분
 2023
.04.12 개봉
",채드 스타헬스키,
19,오토라는 남자,"코미디,
드라마
스웨덴
,
미국126분
 2023
.03.29 개봉
",마크 포스터,8.33
20,드림,"액션,
모험,
SF,
스릴러
미국192분
 2022
.12.14 개봉
",제임스 카메론,8.82
